Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
Adjusting to new routines;routine changes ;routine changes;;routine changes;;;;;;;
The most challenging is not being able to let them play with their friends who they miss playing with;"isolation/confinment; child socialization";child socialization;;"isolation; child socialization";;;;;;;
Balancing work and childcare.;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
We are really missing the outings. We daily visited different parks and playgrounds and had play dates. We live close to family and are not able to see them.;"isoaltion/confinment; family separartions";"isolation/confinement; family separations";;"confinement; family separations";;;;;;;
Working from home while homeschooling has been very difficult. I have carried most of the load related to organizing and setting up the new school work structure at home which leaves me with very little time to get my own work done. I am often overwhelmed. It is difficult to get work done in 'spurts' as some have suggested because my work often takes some time to return to (i.e. logging into the appropriate servers, setting up the workspace, identifying where I left off from the prior work time). My children need a lot of attention and support.;"balancing work and schooling; parenting exhaustion; parent well-being; kids behavior";"balancing work and teaching; parent well-being; kids behavior; parenting exhaustion";;"balancing work and schooling; parenting exhaustion; parent wellbeing; kids behavior";;;;;;;
Not having the time and energy to connect to my kids. Im working until around 7 every night right now.;parenting exhaustion ;parenting exhaustion;;parenting exhaustion;;;;;;;
"Not getting a break when my partner is working, as he works nights as a first responder. 
Trying to get school work done when I'm home 24/7 with a toddler.";"no alone time; balancing work and parenting ";"balancing parenting and work; no alone time";;"no alone time; balancing parenting and work";;;;;;;
Online learning!!!;schooling ;schooling;;schooling;;;;;;;
Not being able to visit parents/grandparents and other family members.  Kids not being able to go to school and be with their friends and participate in sports and school activities. No HS graduation and ending school with no closure.;"family separation; isolation/confinement; kids socialization;missed activities";"family separations; isolation/confinement; kids socialization; missed activities ";;"family separations; isolation; kids socialization; missed actiities";;;;;;;
Not being able to see family & friends, especially with her being new. Going out shopping & having to worry about bringing an illness home with me;"family separation; covid worries ";"family separations; covid worries";;"family separations; covid worries";;;;;;;
balancing work (online teaching) while my husband is working outside of the home, parenting and online schooling for my children.  Not seeing family and friends.;"juggling multiple roles; family separations ";"juggling multiple roles; family separations";;"juggline multiple roles; family separations";;;;;;;
Trying to entertain a 1yrs old and 8yrs old child and make sure they dont stay on screen time and actual do things instead;"keeping kids/family busy; excessive screentime ";"keeping kids/family busy; excessive screentime";;"keeping kids family busy; excessive screentime";;;;;;;
Not being able to physically see their friends/family.;family separation ;child socialization;;child socialization;;;;;;;
Not being able to take them anywhere;isolation/confinment ;isolatino/confinement;;confinement;;;;;;;
Working from home. I have been putting in 12 hour days as a teacher.;employment changes ;employment changes/expectations;;employment changes;;;;;;;
Not having enough to oneself and constantly interacting with your kids with no breaks.;"no alone time; parenting exhaustion";"no alone time; parenting exhaustion";;"no alone time; parenting exhaustion";;;;;;;
Working and providing childcare at the same time and letting go of expectations;"balancing work and parenting; conflicting parental values and actions ";"balancing work and childcare; conflicting parental values and actions";;"balancing work and parenting; conflicting parental values and actions";;;;;;;
Being patient. Understanding that we are all processing this differently;conflicting parental values and actions;conflicting parental values and actions;;conflicting parental values and actions;;;;;;;
I think the most challenging parts of parenting are constantly reiterating things and the repetitive nature of trying to teach. Before, I was only able to see my son about 3 hours a day between full time work, part time school and other obligations. Now, I see him twice, if not 3x that a day and it has shown me not only how much I have missed, given me a deeper and greater appreciation for my partner, but also unlocked what feels like a massive amount of guilt I was avoiding because I wasn't present as much as I wanted to be.;"schooling; parenting guilt; routine changes";"schooling; parenting guilt; routine changes";;"schooling; parental guilt; routine changes";;;;;;;
Home schooling. Social distancing.;"schooling; isolation/confinement ";"schooling; isolation/confinement";;"schooling; confinement";;;;;;;
